comment_num,name,price,shop
1800+,美大 （MEIDA）集成灶G6Z 5586Z 飞腾蒸箱款 燃气灶烟灶 抽油烟机 集成灶 官配 黑色 天然气,12180.00,美大官方旗舰店
1700+,美大 （MEIDA）集成灶 集成一体灶 燃气灶烟灶 抽油烟机  G5/5585飞扬 消毒柜款 官配 天然气,7699.00,美大旗舰店
300+,美大（MEIDA）时尚先锋 JJZT-1209F 侧吸抽油烟机燃气灶烘干碗柜一体集成灶不锈钢台面 天然气,6780.00,美大集成灶京东自营...
2100+,美大 （MEIDA）集成灶G3飞星 钢化玻璃台面 侧吸下排烟机燃气灶消毒 集成一体灶 官配 黑色 管道天然气+天然气,8649.00,美大官方旗舰店
300+,美大 MEIDA G1 JJZT-55811 下排侧吸抽油烟机燃气灶消毒柜一体集成灶钢化玻璃台面 天然气,7699.00,美大集成灶京东自营...
1700+,美大 （MEIDA）集成灶 集成一体灶 燃气灶烟灶 抽油烟机  G5/5585飞扬 消毒柜款 官配 液化气,7699.00,美大旗舰店
500+,美大 （MEIDA）集成灶 集成一体灶 燃气灶烟灶 抽油烟机 G55Z/55855Z飞扬蒸箱款 官配 天然气,11680.00,美大旗舰店
3400+,美大 （MEIDA）时尚之星1209E不锈钢台面 侧吸下排集成灶烟机燃气灶消毒柜高端集成 黑色 天然气,7630.00,美大官方旗舰店
40+,美大（MEIDA）时尚先锋 JJZY-1209F 侧吸抽油烟机燃气灶烘干碗柜一体集成灶不锈钢台面 液化气,6780.00,美大集成灶京东自营...
1800+,美大 （MEIDA）集成灶G6Z 5586Z 飞腾蒸箱款 燃气灶烟灶 抽油烟机 集成灶 官配 黑色 延迟发货,12180.00,美大官方旗舰店
700+,美大 （MEIDA）集成灶 集成一体灶 燃气灶烟灶 抽油烟机 G55Z/55855Z飞扬蒸箱款 官配 液化气,11680.00,美大旗舰店
1800+,美大 MEIDA 飞燕 JJZT-3308Z 侧吸抽油烟机燃气灶电蒸箱一体集成灶玻璃台面 天然气,14980.00,美大集成灶京东自营...
1800+,美大 （MEIDA）集成灶G6Z 5586Z 飞腾蒸箱款 燃气灶烟灶 抽油烟机 集成灶 官配 黑色 液化气,12180.00,美大官方旗舰店
40+,美大 MEIDA 智尊 JJZT-2201A 分体式下排侧吸抽油烟机燃气灶具套装一体集成灶钢化玻璃台面 天然气,5880.00,美大集成灶京东自营...
2000+,美大 （MEIDA）集成灶 燃气灶烟灶 抽油烟机 集成一体灶 1209E时尚之星 消毒柜款 官配 黑色 液化气,8190.00,美大官方旗舰店
20+,美大 MEIDA G1 JJZT-55811 下排侧吸抽油烟机燃气灶消毒柜一体集成灶钢化玻璃台面 液化气,7699.00,美大集成灶京东自营...
2000+,美大 （MEIDA）集成灶 燃气灶烟灶 抽油烟机 集成一体灶 1209E时尚之星 消毒柜款 官配 黑色 天然气,8190.00,美大官方旗舰店
100+,美大 MEIDA  新贵族 JJZT-1204C  环吸抽油烟机燃气灶储藏柜一体集成灶不锈钢台面 天然气,4980.00,美大集成灶京东自营...
2,美大（Meida）G5Z  JJZT-5585Z 飞扬蒸箱款 集成灶燃气灶烟灶 抽油烟机  天然气,11800.00,美大集成灶京东自营...
50+,美大 （MEIDA）美大集成灶钢化玻璃台面 侧吸下排集成灶-750 官配 天然气,7590.00,美大旗舰店
100+,美大 （MEIDA)集成灶 集成一体灶燃气灶 烟灶 抽油烟机 G5飞扬JJZT-5585 黑色 天然气,7699.00,美大京东旗舰店
